system:index,elevation,.geo
0,3163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69958333336265,39.49958333334153]}"
1,3161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69875000002932,39.49958333334153]}"
2,3165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69791666669599,39.49958333334153]}"
3,3172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69708333336266,39.49958333334153]}"
4,3174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69625000002932,39.49958333334153]}"
5,3173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69541666669599,39.49958333334153]}"
6,3175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69458333336266,39.49958333334153]}"
7,3179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69375000002933,39.49958333334153]}"
8,3178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.692916666696,39.49958333334153]}"
9,3168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69208333336266,39.49958333334153]}"
10,3147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69125000002933,39.49958333334153]}"
11,3112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.690416666696,39.49958333334153]}"
12,3082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68958333336266,39.49958333334153]}"
13,3048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68875000002933,39.49958333334153]}"
14,3015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.687916666696,39.49958333334153]}"
15,2983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68708333336266,39.49958333334153]}"
16,2953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68625000002933,39.49958333334153]}"
17,2927,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.685416666696,39.49958333334153]}"
18,2907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68458333336265,39.49958333334153]}"
19,2913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68375000002932,39.49958333334153]}"
20,2937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68291666669599,39.49958333334153]}"
21,2953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68208333336266,39.49958333334153]}"
22,2955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68125000002932,39.49958333334153]}"
23,2942,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68041666669599,39.49958333334153]}"
24,2926,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67958333336266,39.49958333334153]}"
25,2905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67875000002932,39.49958333334153]}"
26,2886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67791666669599,39.49958333334153]}"
27,2878,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67708333336266,39.49958333334153]}"
28,2873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67625000002933,39.49958333334153]}"
29,2865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.675416666696,39.49958333334153]}"
30,2849,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67458333336266,39.49958333334153]}"
31,2820,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67375000002933,39.49958333334153]}"
32,2801,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.672916666696,39.49958333334153]}"
33,2786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67208333336266,39.49958333334153]}"
34,2772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67125000002933,39.49958333334153]}"
35,2767,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.670416666696,39.49958333334153]}"
36,2770,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66958333336267,39.49958333334153]}"
37,2770,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66875000002933,39.49958333334153]}"
38,2777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.667916666696,39.49958333334153]}"
39,2786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66708333336267,39.49958333334153]}"
40,2799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66625000002934,39.49958333334153]}"
41,2832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.665416666696,39.49958333334153]}"
42,2866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66458333336267,39.49958333334153]}"
43,2885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66375000002934,39.49958333334153]}"
44,2912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.662916666696,39.49958333334153]}"
45,2944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66208333336267,39.49958333334153]}"
46,2967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66125000002934,39.49958333334153]}"
47,2993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66041666669601,39.49958333334153]}"
48,3011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65958333336268,39.49958333334153]}"
49,3021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.65875000002934,39.49958333334153]}"
